.png,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,52
cname,阿伦・艾弗森,阿马雷・斯塔德迈尔,安德烈・伊戈达拉,保罗・皮尔斯,保罗・乔治,本・西蒙斯,布雷克・格里芬,昌西・比卢普斯,德怀恩・韦德,德怀特・霍华德,德克・诺维茨基,德里克・罗斯,德隆・威廉姆斯,德马库斯・考辛斯,德玛尔・德罗赞,蒂姆・邓肯,多诺万・米切尔,戈登・海沃德,戈兰・德拉季奇,格兰特・希尔,贾森・基德,贾森・特里,杰森・塔图姆,卡尔-安东尼・唐斯,卡梅隆・安东尼,凯里・欧文,凯文・杜兰特,凯文・加内特,凯文・乐福,科比・布莱恩特,科怀・伦纳德,克莱・汤普森,克里斯・保罗,克里斯・波什,拉简・朗多,拉马库斯・阿尔德里奇,拉塞尔・威斯布鲁克,勒布朗・詹姆斯,雷・阿伦,林书豪,马努・吉诺比利,乔尔・恩比德,赛尔吉・伊巴卡,沙奎尔・奥尼尔,史蒂夫・纳什,斯蒂芬・库里,特雷西・麦克格雷迪,托尼・帕克,姚明,约什・史密斯,扎克・兰多夫,詹姆斯・哈登,周琦
color,0xFF7B2E,0xE6302D,0x5D9CC8,0xEDB336,0xFB3434,0x20A27E,0xE3007E,0xE3007E,0xF40009,0xFF0077,0x00FF70,0xB91820,0xF8285C,0xF8D324,0x1BCB95,0xF48A34,0x0081D7,0xC6E16C,0xDB4630,0xF84CBA,0xE53836,0xFF5959,0xFCD209,0xF08300,0xA4C639,0xF63E3F,0x327ED3,0x803EDE,0x285C9B,0x2672EC,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E,0x4297CF,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E
2013年1月,9455,0,0,0,0,0,0,0,8607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13791,0,0,29209,0,0,0,0,6387,0,0,13652,0,9655,0,0,0,0,6001,0,19096,0,0,0,0,7064,0
2013年2月,0,0,0,0,0,0,0,0,7022,0,0,8023,0,0,0,0,0,0,0,0,0,0,0,0,0,10092,12119,0,0,38326,0,0,0,0,0,0,0,16097,0,9513,0,0,0,0,0,0,8815,0,0,0,0,7051,0
2013年3月,11077,0,0,0,0,0,0,0,6614,6544,0,6328,0,0,0,6731,0,0,0,0,0,0,0,0,0,24644,0,0,0,58202,0,0,0,0,0,0,0,13120,0,7961,0,0,0,0,0,0,7231,0,0,0,0,0,0
2013年4月,9728,0,0,0,0,0,0,0,6121,0,0,6024,0,0,0,0,0,0,0,0,0,0,0,0,9133,0,10675,0,0,152031,0,0,0,0,0,0,0,10487,0,10903,0,0,0,0,0,27289,47451,0,0,0,0,0,0
2013年5月,11371,0,0,0,44067,0,0,0,0,0,0,0,0,0,0,15396,0,0,0,0,0,0,0,0,0,11035,13046,0,0,26027,0,0,0,0,0,0,0,24877,0,0,0,0,0,0,0,37989,15662,19031,0,0,0,0,0
2013年6月,0,0,0,0,53892,0,0,0,40304,0,0,0,0,0,0,98522,0,0,0,72959,22831,0,0,0,0,0,0,0,0,52668,0,0,0,0,0,0,0,91515,60349,0,0,0,0,0,0,0,55594,23432,0,0,0,0,0
2013年7月,0,0,28858,0,0,0,0,0,8591,85221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28347,0,0,0,0,0,0,0,13033,0,6473,0,0,0,0,6655,0,8635,0,0,15016,0,31235,0
2013年8月,23081,0,0,0,0,0,0,0,4054,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115,13484,3440,0,0,35959,0,0,0,0,0,0,0,7274,0,6712,0,0,0,0,0,0,49470,0,0,0,0,0,0
2013年9月,5410,0,0,0,4194,0,0,0,4173,2887,0,3751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3436,0,0,16922,0,0,0,0,0,0,0,7047,0,2998,0,0,0,0,0,0,0,3002,0,0,0,0,0
2013年10月,65532,0,0,0,0,0,0,0,5775,4673,0,8533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3652,0,0,23011,0,0,0,0,0,0,0,6811,0,7546,0,0,0,0,0,3967,0,0,0,0,0,5328,0
